kge	nse	pbias	corr	d	md	aic	bic	model	method	stage	catchment
0.5887	0.2411	13.0000	0.7806	0.8529	0.6445	463.6406	478.9682	budyko	gensa	val	tenorio
0.8368	0.7206	-7.1000	0.8812	0.9332	0.7380	939.0816	965.2291	awbm	gensa	cal	tenorio
0.5020	0.2601	3.3000	0.8225	0.8704	0.6471	465.9698	485.6767	awbm	gensa	val	tenorio
0.8646	0.7500	-5.4000	0.8857	0.9380	0.7480	922.0692	945.3114	ihacres	gensa	cal	tenorio
0.6313	0.2973	0.0000	0.7539	0.8532	0.6515	462.5578	482.2647	ihacres	gensa	val	tenorio
0.8904	0.7809	0.2000	0.8904	0.9428	0.7700	906.2510	932.3985	simhyd	gensa	cal	tenorio
0.5504	0.1743	16.5000	0.7889	0.8436	0.6437	473.2050	492.9119	simhyd	gensa	val	tenorio
0.8374	0.8819	-7.7000	0.9433	0.9656	0.8418	743.3171	751.1326	gr2m	gensa	cal	morote
0.7831	0.7381	8.1000	0.8615	0.9197	0.7860	445.9987	451.9657	gr2m	gensa	val	morote
0.9214	0.8600	-0.2000	0.9282	0.9628	0.8462	768.3083	786.5445	abcd	gensa	cal	morote
0.7477	0.6637	-17.4000	0.8330	0.9055	0.7753	467.4998	481.4226	abcd	gensa	val	morote
0.9159	0.8592	-0.3000	0.9274	0.9621	0.8466	763.3454	781.5816	budyko	gensa	cal	morote
0.6541	0.6916	-20.1000	0.8478	0.8956	0.7502	423.0076	436.9305	budyko	gensa	val	morote
0.9371	0.8797	0.1000	0.9390	0.9686	0.8513	757.1555	780.6021	awbm	gensa	cal	morote
0.7717	0.6621	-15.2000	0.8338	0.9087	0.7790	471.7526	489.6534	awbm	gensa	val	morote
0.8689	0.8180	5.5000	0.9054	0.9492	0.7979	796.5506	817.3919	ihacres	gensa	cal	morote
0.8136	0.6214	0.0000	0.8224	0.9048	0.7495	477.8949	495.7958	ihacres	gensa	val	morote
0.8259	0.6979	2.4000	0.8407	0.9146	0.7554	849.2247	872.6713	simhyd	gensa	cal	morote
0.7029	0.4664	-14.4000	0.7403	0.8547	0.7024	496.4270	514.3278	simhyd	gensa	val	morote
0.8721	0.7460	-0.4000	0.8723	0.9325	0.7784	1392.8784	1402.2681	gr2m	gensa	cal	canas
0.7157	0.4369	-2.6000	0.7170	0.8422	0.6770	930.3819	938.4283	gr2m	gensa	val	canas
0.8424	0.7056	0.1000	0.8475	0.9187	0.7401	1425.8619	1447.7712	abcd	gensa	cal	canas
0.6351	0.2523	4.5000	0.6393	0.7943	0.6200	969.0081	987.7830	abcd	gensa	val	canas
0.8404	0.6832	-1.6000	0.8412	0.9152	0.7313	1438.2319	1460.1412	budyko	gensa	cal	canas
0.6371	0.2430	3.3000	0.6426	0.7971	0.6265	970.3347	989.1096	budyko	gensa	val	canas
0.8528	0.7155	-1.4000	0.8550	0.9230	0.7385	1424.0794	1452.2485	awbm	gensa	cal	canas
0.5479	0.0248	-0.2000	0.5574	0.7420	0.5825	1001.6886	1025.8278	awbm	gensa	val	canas
0.8420	0.6932	-4.6000	0.8545	0.9214	0.7704	1434.7819	1459.8211	ihacres	gensa	cal	canas
0.6805	0.3248	0.0000	0.7111	0.8351	0.6754	961.9896	986.1288	ihacres	gensa	val	canas
0.8588	0.7207	1.0000	0.8594	0.9251	0.7506	1420.9260	1449.0951	simhyd	gensa	cal	canas
0.6111	0.2013	6.6000	0.6187	0.7783	0.6281	980.1262	1004.2654	simhyd	gensa	val	canas
0.9210	0.8421	0.0000	0.9210	0.9591	0.8286	449.9855	456.5545	gr2m	gensa	cal	tempisque
0.6879	0.4169	-11.9000	0.7188	0.8385	0.6743	256.3255	261.2382	gr2m	gensa	val	tempisque
0.9188	0.8375	0.2000	0.9188	0.9578	0.8304	459.8964	475.2240	abcd	gensa	cal	tempisque
0.6041	0.3459	30.8000	0.7512	0.8320	0.5826	268.6918	280.1549	abcd	gensa	val	tempisque
0.8955	0.7908	0.2000	0.8955	0.9453	0.7874	476.5542	491.8817	budyko	gensa	cal	tempisque
0.5951	0.2381	25.7000	0.7222	0.8184	0.6258	274.4884	285.9515	budyko	gensa	val	tempisque
0.9307	0.8614	-0.4000	0.9309	0.9644	0.8289	453.4001	473.1070	awbm	gensa	cal	tempisque
0.6965	0.4048	8.3000	0.7080	0.8340	0.6363	269.1028	283.8411	awbm	gensa	val	tempisque
0.9260	0.8518	-0.3000	0.9261	0.9619	0.8270	455.8142	473.3315	ihacres	gensa	cal	tempisque
0.7679	0.5294	0.0000	0.7684	0.8717	0.6723	260.1781	274.9164	ihacres	gensa	val	tempisque
0.8952	0.7898	0.1000	0.8952	0.9453	0.7786	480.8696	500.5765	simhyd	gensa	cal	tempisque
0.5090	0.0718	34.9000	0.6651	0.7694	0.5313	285.9897	300.7280	simhyd	gensa	val	tempisque
0.7904	0.6294	11.0000	0.8485	0.9117	0.7310	668.7486	676.0766	gr2m	gensa	cal	salitral
0.7283	0.7171	15.8000	0.8716	0.9092	0.6987	321.0254	326.3780	gr2m	gensa	val	salitral
0.8695	0.7459	-0.5000	0.8709	0.9319	0.7569	644.6630	661.7615	abcd	gensa	cal	salitral
0.8043	0.7219	10.3000	0.8634	0.9205	0.7201	328.2611	340.7504	abcd	gensa	val	salitral
0.7935	0.6007	-8.9000	0.8165	0.8970	0.6939	683.0869	700.1855	budyko	gensa	cal	salitral
0.7931	0.6121	5.8000	0.8038	0.8937	0.6681	342.9151	355.4044	budyko	gensa	val	salitral
0.8276	0.6985	-6.7000	0.8711	0.9281	0.7417	663.2107	685.1945	awbm	gensa	cal	salitral
0.8488	0.6968	-2.1000	0.8547	0.9232	0.7245	336.0769	352.1346	awbm	gensa	val	salitral
0.7643	0.6547	-16.4000	0.8826	0.9213	0.7324	672.7357	692.2769	ihacres	gensa	cal	salitral
0.8486	0.6958	0.0000	0.8554	0.9232	0.7167	336.2136	352.2713	ihacres	gensa	val	salitral
0.8365	0.6712	0.6000	0.8368	0.9124	0.7422	670.5914	692.5753	simhyd	gensa	cal	salitral
0.7167	0.5571	19.9000	0.8085	0.8785	0.6592	352.7423	368.8000	simhyd	gensa	val	salitral
0.8826	0.7644	1.2000	0.8841	0.9391	0.7735	545.4831	552.8110	gr2m	gensa	cal	elsalto
0.8356	0.7287	1.4000	0.8563	0.9230	0.7119	251.4228	256.7754	gr2m	gensa	val	elsalto
0.9131	0.8260	-0.2000	0.9132	0.9550	0.7965	527.7167	544.8153	abcd	gensa	cal	elsalto
0.7198	0.6430	13.1000	0.8832	0.9250	0.6938	271.5129	284.0022	abcd	gensa	val	elsalto
0.9474	0.8948	0.0000	0.9474	0.9731	0.8434	484.9068	502.0054	budyko	gensa	cal	elsalto
0.8927	0.8367	7.4000	0.9232	0.9584	0.7954	237.0986	249.5879	budyko	gensa	val	elsalto
0.9173	0.8350	-0.9000	0.9183	0.9577	0.7955	527.1920	549.1758	awbm	gensa	cal	elsalto
0.8910	0.7847	-1.1000	0.8962	0.9456	0.7655	253.2629	269.3206	awbm	gensa	val	elsalto
0.9264	0.8570	-1.6000	0.9298	0.9638	0.8074	513.0527	532.5939	ihacres	gensa	cal	elsalto
0.9072	0.8143	0.0000	0.9072	0.9518	0.7669	246.7611	262.8188	ihacres	gensa	val	elsalto
0.9095	0.8184	0.1000	0.9098	0.9530	0.7937	535.3654	557.3493	simhyd	gensa	cal	elsalto
0.7352	0.5988	18.4000	0.8479	0.9074	0.6469	280.6488	296.7065	simhyd	gensa	val	elsalto
